date,time,venue,rest days,result,gf/gp,ga/gp,net goals,opponent,shots for,shots against,shot diff,pp opp/gp,ts/gp,pp%,pk%,fow%,team,goalie,sv%
2024-10-04,13:00,Away,4,L,4,1,3,Buffalo Sabres,23,31,-8,2,4,0.0,100.0,42.4,New Jersey Devils,Jacob Markstrom,0.968
2024-10-04,13:00,Home,4,W,1,4,-3,New Jersey Devils,31,23,8,4,2,0.0,100.0,57.6,Buffalo Sabres,Ukko-Pekka Luukkonen,0.864
2024-10-05,10:00,Home,0,W,3,1,2,Buffalo Sabres,37,18,19,4,2,25.0,100.0,64.7,New Jersey Devils,Jake Allen,0.944
2024-10-05,10:00,Away,0,L,1,3,-2,New Jersey Devils,18,37,-19,2,4,0.0,75.0,35.3,Buffalo Sabres,Devon Levi,0.919
2024-10-08,19:00,Away,4,W,4,6,-2,Florida Panthers,28,35,-7,4,6,25.0,100.0,48.4,Boston Bruins,Joonas Korpisalo,0.829
2024-10-08,19:00,Home,4,L,6,4,2,Boston Bruins,35,28,7,6,4,0.0,75.0,51.6,Florida Panthers,Sergei Bobrovsky,0.857
2024-10-08,22:00,Away,4,W,2,5,-3,Utah Hockey Club,26,27,-1,3,1,0.0,100.0,50.0,Chicago Blackhawks,Petr Mrazek,0.846
2024-10-08,16:30,Away,4,L,3,2,1,Seattle Kraken,25,32,-7,2,1,50.0,100.0,56.3,St. Louis Blues,Jordan Binnington,0.938
2024-10-08,16:30,Home,4,L,2,3,-1,St. Louis Blues,32,25,7,1,2,0.0,50.0,43.7,Seattle Kraken,Philipp Grubauer,0.88
2024-10-08,22:00,Home,4,L,5,2,3,Chicago Blackhawks,27,26,1,1,3,0.0,100.0,50.0,Utah Hockey Club,Connor Ingram,0.923
2024-10-09,22:00,Away,4,L,6,5,1,Vancouver Canucks,26,24,2,3,4,33.3,50.0,46.2,Calgary Flames,Dan Vladar,0.792
2024-10-09,19:30,Away,4,W,6,0,6,Pittsburgh Penguins,40,31,9,2,3,0.0,100.0,54.2,New York Rangers,Igor Shesterkin,1.0
2024-10-09,19:30,Home,4,L,0,6,-6,New York Rangers,31,40,-9,3,2,0.0,100.0,45.8,Pittsburgh Penguins,Tristan Jarry,0.85
2024-10-09,19:00,Home,4,W,1,0,1,Toronto Maple Leafs,27,48,-21,5,4,20.0,100.0,33.3,Montreal Canadiens,Sam Montembeault,1.0
2024-10-09,19:00,Away,4,W,0,1,-1,Montreal Canadiens,48,27,21,4,5,0.0,80.0,66.7,Toronto Maple Leafs,Anthony Stolarz,0.963
2024-10-09,22:00,Home,4,L,0,6,-6,Winnipeg Jets,30,20,10,1,3,0.0,33.3,59.2,Edmonton Oilers,Calvin Pickard,0.857
2024-10-09,22:00,Home,4,L,0,6,-6,Winnipeg Jets,30,20,10,1,3,0.0,33.3,59.2,Edmonton Oilers,Stuart Skinner,0.615
2024-10-09,22:00,Home,4,L,5,6,-1,Calgary Flames,24,26,-2,4,3,50.0,66.7,53.9,Vancouver Canucks,Arturs Silovs,0.769
2024-10-09,22:00,Away,4,W,6,0,6,Edmonton Oilers,20,30,-10,3,1,66.7,100.0,40.8,Winnipeg Jets,Connor Hellebuyck,1.0
2024-10-09,22:00,Home,4,W,8,4,4,Colorado Avalanche,21,32,-11,3,3,66.7,66.7,58.0,Vegas Golden Knights,Adin Hill,0.875
